,Animals,Diet,Type,Length
2785,Cloud cisticola,Carnivore,Bird,1526
2786,Cloud-forest pygmy owl,Carnivore,Bird,16670
2787,Cloud-forest screech owl,Carnivore,Bird,5169
2788,Cloven-feathered dove,Herbivore,Bird,3054
2789,Club-winged manakin,Herbivore,Bird,6378
2790,Coal tit,Omnivore,Bird,25880
2791,Coal-crested finch,Omnivore,Bird,3973
2792,Coastal cisticola,Carnivore,Bird,2741
2793,Coastal miner,Carnivore,Bird,5366
2794,Cobalt-winged parakeet,Herbivore,Bird,10179
2795,Cobb's wren,Carnivore,Bird,5816
2796,Cocha antshrike,Carnivore,Bird,1355
2797,Cochabamba mountain finch,Omnivore,Bird,1548
2798,Cockerell's fantail,Carnivore,Bird,1195
2799,Cock-tailed tyrant,Carnivore,Bird,2048
2800,Cocoa thrush,Omnivore,Bird,5372
2801,Cocoa woodcreeper,Carnivore,Bird,12971
2802,Cocoi heron,Carnivore,Bird,15275
2803,Coconut lorikeet,Herbivore,Bird,11851
2804,Cocos cuckoo,Carnivore,Bird,6721
2805,Cocos finch,Omnivore,Bird,15136
2806,Cocos flycatcher,Carnivore,Bird,1955
2807,Coiba spinetail,Carnivore,Bird,7352
2808,Coleto,Omnivore,Bird,7188
2809,Colima pygmy owl,Carnivore,Bird,4956
2810,Colima warbler,Carnivore,Bird,3671
2811,Collared antshrike,Carnivore,Bird,3437
2812,Collared aracari,Herbivore,Bird,15955
2813,Collared babbler,Carnivore,Bird,1305
2814,Collared brushturkey,Herbivore,Bird,1309
2815,Collared bush robin,Carnivore,Bird,5164
2816,Collared crescentchest,Carnivore,Bird,5330
2817,Collared crow,Omnivore,Bird,3102
2818,Collared falconet,Carnivore,Bird,5702
2819,Collared finchbill,Omnivore,Bird,2721
2820,Collared flycatcher,Carnivore,Bird,7930
2821,Collared forest falcon,Carnivore,Bird,15362
2822,Collared gnatwren,Carnivore,Bird,6009
2823,Collared grosbeak,Herbivore,Bird,5138
2824,Collared imperial pigeon,Herbivore,Bird,3462
2825,Collared inca,Herbivore,Bird,10949
2826,Collared kingfisher,Carnivore,Bird,13882
2827,Collared lark,Omnivore,Bird,1704
2828,Collared laughingthrush,Carnivore,Bird,1464
2829,Collared lory,Herbivore,Bird,8038
2830,Collared myna,Omnivore,Bird,1226
2831,Collared nightjar,Carnivore,Bird,1583
2832,Collared owlet,Carnivore,Bird,14346
2833,Collared palm thrush,Carnivore,Bird,2612
2834,Collared petrel,Carnivore,Bird,1817
2835,Collared plover,Carnivore,Bird,5285
2836,Collared pratincole,Carnivore,Bird,8286
2837,Collared puffbird,Carnivore,Bird,9435
2838,Collared scops owl,Carnivore,Bird,3490
2839,Collared sparrowhawk,Carnivore,Bird,6516
2840,Collared sunbird,Omnivore,Bird,2605
2841,Collared towhee,Omnivore,Bird,3050
2842,Collared treepie,Carnivore,Bird,2256
2843,Collared trogon,Omnivore,Bird,8667
2844,Collared warbling finch,Carnivore,Bird,1516
2845,Collared whitestart,Carnivore,Bird,3833
2846,Colombian chachalaca,Herbivore,Bird,13260
2847,Colombian crake,Carnivore,Bird,6964
2848,Colombian mountain grackle,Omnivore,Bird,2140
2849,Colorful puffleg,Herbivore,Bird,6686
2850,Comb duck,Herbivore,Bird,6339
2851,Comb-crested jacana,Omnivore,Bird,5213
2852,Common babbler,Omnivore,Bird,7748
2853,Common black hawk,Carnivore,Bird,7828
2854,Common blackbird,Omnivore,Bird,49380
2855,Common bronzewing,Herbivore,Bird,4481
2856,Common bulbul,Herbivore,Bird,6490
2857,Common buttonquail,Omnivore,Bird,8632
2858,Common buzzard,Carnivore,Bird,154127
2859,Common cactus finch,Herbivore,Bird,2628
2860,Common chiffchaff,Carnivore,Bird,39572
2861,Common cicadabird,Carnivore,Bird,6459
2862,Common crane,Herbivore,Bird,42100
2863,Common cuckoo,Carnivore,Bird,58560
2864,Common diving petrel,Carnivore,Bird,11072
2865,Common eider,Carnivore,Bird,17996
2866,Common emerald dove,Herbivore,Bird,9101
2867,Common firecrest,Carnivore,Bird,45551
2868,Common flameback,Carnivore,Bird,12085
2869,Common gallinule,Omnivore,Bird,12289
2870,Common goldeneye,Carnivore,Bird,11311
2871,Common grackle,Carnivore,Bird,25493
2872,Common grasshopper warbler,Carnivore,Bird,16771
2873,Common green magpie,Carnivore,Bird,7556
2874,Common greenshank,Carnivore,Bird,6052
2875,Common ground dove,Herbivore,Bird,11938
2876,Common gull,Carnivore,Bird,13740
2877,Common hawk-cuckoo,Carnivore,Bird,14704
2878,Common hill myna,Herbivore,Bird,16101
2879,Common iora,Carnivore,Bird,15481
2880,Common jery,Carnivore,Bird,1105
2881,Common kestrel,Carnivore,Bird,35748
2882,Common kingfisher,Carnivore,Bird,26212
2883,Common linnet,Herbivore,Bird,15412
2884,Common loon,Carnivore,Bird,88331
2885,Common merganser,Carnivore,Bird,15540
2886,Common miner,Carnivore,Bird,10287
2887,Common moorhen,Omnivore,Bird,21558
2888,Common murre,Carnivore,Bird,42043
2889,Common myna,Carnivore,Bird,48637
2890,Common newtonia,Carnivore,Bird,3550
2891,Common nighthawk,Carnivore,Bird,29346
2892,Common nightingale,Carnivore,Bird,24390
2893,Common ostrich,Herbivore,Bird,121857
2894,Common paradise kingfisher,Carnivore,Bird,12000
2895,Common pheasant,Herbivore,Bird,61477
2896,Common pochard,Herbivore,Bird,23568
2897,Common poorwill,Carnivore,Bird,13306
2898,Common potoo,Carnivore,Bird,18597
2899,Common quail,Herbivore,Bird,15067
2900,Common raven,Omnivore,Bird,75575
2901,Common redpoll,Herbivore,Bird,9471
2902,Common redshank,Carnivore,Bird,11908
2903,Common redstart,Carnivore,Bird,16131
2904,Common reed bunting,Herbivore,Bird,11387
2905,Common ringed plover,Carnivore,Bird,6997
2906,Common rock thrush,Carnivore,Bird,5138
2907,Common rosefinch,Herbivore,Bird,6997
2908,Common sandpiper,Carnivore,Bird,9781
2909,Common scale-backed antbird,Carnivore,Bird,7486
2910,Common scimitarbill,Carnivore,Bird,1702
2911,Common scoter,Carnivore,Bird,8993
2912,Common shelduck,Carnivore,Bird,11636
2913,Common smoky honeyeater,Herbivore,Bird,2295
2914,Common snipe,Carnivore,Bird,13971
2915,Common starling,Omnivore,Bird,112718
2916,Common sunbird-asity,Herbivore,Bird,2776
2917,Common swift,Carnivore,Bird,19001
2918,Common tailorbird,Carnivore,Bird,15789
2919,Common tern,Carnivore,Bird,82094
2920,Common tody-flycatcher,Carnivore,Bird,8833
2921,Common waxbill,Herbivore,Bird,13091
2922,Common whitethroat,Omnivore,Bird,9699
2923,Common wood pigeon,Herbivore,Bird,17457
2924,Common woodshrike,Carnivore,Bird,10798
2925,Common yellowthroat,Carnivore,Bird,33914
2926,Comoros fody,Carnivore,Bird,1728
2927,Compact weaver,Herbivore,Bird,2391
2928,Cone-billed tanager,Carnivore,Bird,2653
2929,Congo martin,Carnivore,Bird,3065
2930,Congo moor chat,Carnivore,Bird,1318
2931,Congo peafowl,Omnivore,Bird,9491
2932,Congo serpent eagle,Carnivore,Bird,16967
2933,Congo sunbird,Omnivore,Bird,1761
2934,Connecticut warbler,Carnivore,Bird,18704
2935,Cook reed warbler,Carnivore,Bird,1473
2936,Cook's petrel,Carnivore,Bird,5140
2937,Cooper's hawk,Carnivore,Bird,269510
2938,Coopmans's elaenia,Omnivore,Bird,1402
2939,Copper pheasant,Omnivore,Bird,4236
2940,Copper seedeater,Herbivore,Bird,2456
2941,Copper sunbird,Herbivore,Bird,3782
2942,Copper-rumped hummingbird,Herbivore,Bird,14206
2943,Coppersmith barbet,Omnivore,Bird,16655
2944,Copper-tailed starling,Omnivore,Bird,1314
2945,Copper-throated sunbird,Herbivore,Bird,10192
2946,Coppery emerald,Herbivore,Bird,5714
2947,Coppery metaltail,Herbivore,Bird,5194
2948,Coppery-bellied puffleg,Herbivore,Bird,5221
2949,Coppery-chested jacamar,Carnivore,Bird,4677
2950,Coppery-headed emerald,Herbivore,Bird,8596
2951,Coppery-tailed coucal,Carnivore,Bird,5109
2952,Coquerel's coua,Carnivore,Bird,5616
2953,Coqui francolin,Herbivore,Bird,3709
2954,Coral-billed ground cuckoo,Carnivore,Bird,1446
2955,Coraya wren,Carnivore,Bird,9135
2956,Cordillera Azul antbird,Carnivore,Bird,1644
2957,Cordillera ground warbler,Carnivore,Bird,8216
2958,Cordilleran canastero,Carnivore,Bird,9832
2959,Cordilleran parakeet,Herbivore,Bird,7120
2960,Córdoba cinclodes,Carnivore,Bird,7167
2961,Corn bunting,Herbivore,Bird,9554
2962,Corn crake,Carnivore,Bird,55683
2963,Coroneted fruit dove,Herbivore,Bird,2576
2964,Correndera pipit,Carnivore,Bird,1566
2965,Corsican finch,Herbivore,Bird,5809
2966,Corsican nuthatch,Omnivore,Bird,45549
2967,Cory's shearwater,Carnivore,Bird,10735
2968,Coscoroba swan,Omnivore,Bird,10638
2969,Costa Rican brushfinch,Omnivore,Bird,2362
2970,Costa Rican pygmy owl,Carnivore,Bird,6834
2971,Costa Rican swift,Carnivore,Bird,5639
2972,Costa's hummingbird,Herbivore,Bird,8380
2973,Cotton pygmy goose,Herbivore,Bird,19340
2974,Couch's kingbird,Carnivore,Bird,7363
2975,Cozumel emerald,Herbivore,Bird,6996
2976,Cozumel thrasher,Carnivore,Bird,9271
2977,Cozumel vireo,Carnivore,Bird,1731
2978,Crab-plover,Carnivore,Bird,5706
2979,Crag chilia,Carnivore,Bird,6436
2980,Crane hawk,Carnivore,Bird,5283
2981,Craveri's murrelet,Carnivore,Bird,5192
2982,Cream-backed woodpecker,Carnivore,Bird,6260
2983,Cream-breasted fruit dove,Herbivore,Bird,4075
2984,Cream-browed white-eye,Herbivore,Bird,1404
2985,Cream-colored courser,Carnivore,Bird,6650
2986,Cream-colored woodpecker,Carnivore,Bird,9615
2987,Cream-eyed bulbul,Herbivore,Bird,2793
2988,Cream-striped bulbul,Herbivore,Bird,2281
2989,Cream-throated white-eye,Omnivore,Bird,1260
2990,Cream-vented bulbul,Herbivore,Bird,2654
2991,Cream-winged cinclodes,Carnivore,Bird,9685
2992,Creamy-bellied antwren,Carnivore,Bird,1277
2993,Creamy-bellied gnatcatcher,Carnivore,Bird,4425
2994,Creamy-bellied thrush,Omnivore,Bird,1959
2995,Creamy-crested spinetail,Carnivore,Bird,6413
2996,Creamy-rumped miner,Carnivore,Bird,4692
2997,Crescent honeyeater,Herbivore,Bird,28753
2998,Crescent-chested babbler,Carnivore,Bird,4177
2999,Crescent-chested puffbird,Carnivore,Bird,7091
3000,Crescent-chested warbler,Carnivore,Bird,4708
3001,Crescent-faced antpitta,Carnivore,Bird,1390
3002,Crested ant tanager,Carnivore,Bird,4266
3003,Crested auklet,Carnivore,Bird,22074
3004,Crested barbet,Omnivore,Bird,3937
3005,Crested becard,Carnivore,Bird,1891
3006,Crested bellbird,Carnivore,Bird,12813
3007,Crested black tyrant,Carnivore,Bird,1677
3008,Crested bobwhite,Herbivore,Bird,3527
3009,Crested bunting,Herbivore,Bird,2307
3010,Crested caracara,Omnivore,Bird,20385
3011,Crested coua,Carnivore,Bird,14549
3012,Crested cuckoo-dove,Herbivore,Bird,13031
3013,Crested doradito,Carnivore,Bird,1135
3014,Crested drongo,Carnivore,Bird,7176
3015,Crested duck,Carnivore,Bird,6977
3016,Crested eagle,Carnivore,Bird,18250
3017,Crested finchbill,Herbivore,Bird,3194
3018,Crested francolin,Omnivore,Bird,3133
3019,Crested gallito,Carnivore,Bird,5010
3020,Crested goshawk,Carnivore,Bird,6526
3021,Crested guan,Herbivore,Bird,6285
3022,Crested honey buzzard,Carnivore,Bird,24080
3023,Crested hornero,Carnivore,Bird,5057
3024,Crested ibis,Carnivore,Bird,9046
3025,Crested kingfisher,Carnivore,Bird,6751
3026,Crested lark,Omnivore,Bird,18310
3027,Crested malimbe,Carnivore,Bird,1440
3028,Crested myna,Omnivore,Bird,16926
3029,Crested oropendola,Omnivore,Bird,5632
3030,Crested owl,Carnivore,Bird,11253
3031,Crested partridge,Omnivore,Bird,4930
3032,Crested pigeon,Herbivore,Bird,7478
3033,Crested quail-dove,Herbivore,Bird,4410
3034,Crested quetzal,Herbivore,Bird,4243
3035,Crested satinbird,Herbivore,Bird,6153
3036,Crested serpent eagle,Carnivore,Bird,20782
3037,Crested spinetail,Carnivore,Bird,6051
3038,Crested tit-warbler,Carnivore,Bird,1697
3039,Crested treeswift,Carnivore,Bird,11440
3040,Crested white-eye,Herbivore,Bird,1234
3041,Crestless curassow,Herbivore,Bird,4859
3042,Cretzschmar's bunting,Omnivore,Bird,3012
3043,Cricket warbler,Carnivore,Bird,3993
3044,Crimson chat,Carnivore,Bird,6534
3045,Crimson finch,Herbivore,Bird,9520
3046,Crimson fruitcrow,Carnivore,Bird,4828
3047,Crimson rosella,Herbivore,Bird,27124
3048,Crimson seedcracker,Herbivore,Bird,4820
3049,Crimson shining parrot,Herbivore,Bird,2633
3050,Crimson sunbird,Herbivore,Bird,3154
3051,Crimson topaz,Herbivore,Bird,10478
3052,Crimson-backed flameback,Carnivore,Bird,3292
3053,Crimson-backed sunbird,Omnivore,Bird,6713
3054,Crimson-backed tanager,Omnivore,Bird,6399
3055,Crimson-bellied parakeet,Herbivore,Bird,6472
3056,Crimson-bellied woodpecker,Carnivore,Bird,7503
3057,Crimson-breasted finch,Omnivore,Bird,4435
3058,Crimson-breasted flowerpecker,Herbivore,Bird,1206
3059,Crimson-breasted shrike,Omnivore,Bird,4922
3060,Crimson-browed finch,Herbivore,Bird,4105
3061,Crimson-collared grosbeak,Herbivore,Bird,3753
3062,Crimson-collared tanager,Omnivore,Bird,5024
3063,Crimson-crested woodpecker,Carnivore,Bird,13164
3064,Crimson-crowned flowerpecker,Herbivore,Bird,1183
3065,Crimson-crowned fruit dove,Herbivore,Bird,3142
3066,Crimson-fronted barbet,Omnivore,Bird,5282
3067,Crimson-fronted cardinal,Omnivore,Bird,1929
3068,Crimson-headed partridge,Omnivore,Bird,12382
3069,Crimson-hooded manakin,Herbivore,Bird,2270
3070,Crimson-mantled woodpecker,Carnivore,Bird,9992
3071,Crimson-rumped myzomela,Herbivore,Bird,1084
3072,Crimson-rumped toucanet,Herbivore,Bird,6820
3073,Crimson-rumped waxbill,Herbivore,Bird,2192
3074,Crimson-winged woodpecker,Carnivore,Bird,1208
3075,Crinkle-collared manucode,Herbivore,Bird,2187
3076,Crissal thrasher,Carnivore,Bird,9411
3077,Croaking cisticola,Carnivore,Bird,2367
3078,Croaking ground dove,Herbivore,Bird,4824
3079,Crossley's ground thrush,Carnivore,Bird,1191
3080,Crossley's vanga,Carnivore,Bird,3846
3081,Crow honeyeater,Omnivore,Bird,2705
3082,Crow-billed drongo,Carnivore,Bird,6195
3083,Crowned chat-tyrant,Carnivore,Bird,2529
3084,Crowned cormorant,Carnivore,Bird,5292
3085,Crowned eagle,Carnivore,Bird,97285
3086,Crowned hornbill,Omnivore,Bird,2302
3087,Crowned lapwing,Carnivore,Bird,9829
3088,Crowned sandgrouse,Herbivore,Bird,6215
3089,Crowned slaty flycatcher,Carnivore,Bird,2929
3090,Crowned woodnymph,Herbivore,Bird,12038
3091,Cryptic antthrush,Carnivore,Bird,2022
3092,Cryptic flycatcher,Carnivore,Bird,2608
3093,Cryptic forest falcon,Carnivore,Bird,11212
3094,Cryptic honeyeater,Herbivore,Bird,1149
3095,Cryptic warbler,Carnivore,Bird,1318
3096,Cuban amazon,Herbivore,Bird,19843
3097,Cuban black hawk,Carnivore,Bird,4742
3098,Cuban blackbird,Omnivore,Bird,2816
3099,Cuban bullfinch,Omnivore,Bird,5818
3100,Cuban crow,Omnivore,Bird,3502
3101,Cuban emerald,Herbivore,Bird,9356
3102,Cuban gnatcatcher,Carnivore,Bird,4387
3103,Cuban grassquit,Herbivore,Bird,6342
3104,Cuban green woodpecker,Carnivore,Bird,15060
3105,Cuban kite,Carnivore,Bird,5050
3106,Cuban martin,Carnivore,Bird,4951
3107,Cuban nightjar,Carnivore,Bird,5666
3108,Cuban oriole,Omnivore,Bird,10009
3109,Cuban parakeet,Herbivore,Bird,6699
3110,Cuban pewee,Carnivore,Bird,2724
3111,Cuban pygmy owl,Carnivore,Bird,5169
3112,Cuban solitaire,Omnivore,Bird,1189
3113,Cuban tody,Carnivore,Bird,5911
3114,Cuban trogon,Herbivore,Bird,6928
3115,Cuban vireo,Carnivore,Bird,1268
3116,Cuckoo-finch,Herbivore,Bird,8626
3117,Cundinamarca antpitta,Carnivore,Bird,1299
3118,Curl-crested aracari,Herbivore,Bird,10161
3119,Curl-crested jay,Omnivore,Bird,7177
3120,Curl-crested manucode,Herbivore,Bird,4964
3121,Curlew sandpiper,Carnivore,Bird,12912
3122,Curve-billed reedhaunter,Carnivore,Bird,7175
3123,Curve-billed scythebill,Carnivore,Bird,11319
3124,Curve-billed thrasher,Omnivore,Bird,27655
3125,Curve-billed tinamou,Herbivore,Bird,5841
3126,Curve-winged sabrewing,Herbivore,Bird,11082
3127,Cut-throat finch,Herbivore,Bird,7194
3128,Cuzco brushfinch,Omnivore,Bird,10056
3129,Cyprus scops owl,Carnivore,Bird,5086
3130,Cyprus warbler,Carnivore,Bird,3501
3131,Cyprus wheatear,Carnivore,Bird,5008
3132,Dalmatian pelican,Carnivore,Bird,27739
3133,Damar flycatcher,Carnivore,Bird,1742
3134,Damara red-billed hornbill,Carnivore,Bird,2630
3135,Damara tern,Carnivore,Bird,4853
3136,Dambo cisticola,Carnivore,Bird,1155
3137,Dapple-throat,Carnivore,Bird,2841
3138,Darjeeling woodpecker,Carnivore,Bird,2157
3139,Dark batis,Carnivore,Bird,6164
3140,Dark chanting goshawk,Carnivore,Bird,9643
3141,Dark hawk-cuckoo,Carnivore,Bird,1246
3142,Dark pewee,Carnivore,Bird,2391
3143,Dark-backed imperial pigeon,Herbivore,Bird,1201
3144,Dark-backed sibia,Herbivore,Bird,1639
3145,Dark-backed weaver,Omnivore,Bird,2028
3146,Dark-backed wood quail,Herbivore,Bird,4875
3147,Dark-bellied cinclodes,Carnivore,Bird,10765
3148,Dark-billed cuckoo,Carnivore,Bird,7023
3149,Dark-breasted rosefinch,Herbivore,Bird,4680
3150,Dark-breasted spinetail,Carnivore,Bird,1563
3151,Dark-eared myza,Herbivore,Bird,4375
3152,Dark-eyed junco,Herbivore,Bird,21476
3153,Dark-faced ground tyrant,Carnivore,Bird,3533
3154,Dark-fronted babbler,Carnivore,Bird,10582
3155,Dark-necked tailorbird,Carnivore,Bird,1365
3156,Dark-rumped rosefinch,Herbivore,Bird,1297
3157,Dark-rumped swift,Carnivore,Bird,1238
3158,Dark-sided flycatcher,Carnivore,Bird,7719
3159,Dark-sided thrush,Carnivore,Bird,3220
3160,Dark-throated oriole,Omnivore,Bird,2867
3161,Dark-throated seedeater,Herbivore,Bird,1542
3162,Dark-winged canastero,Omnivore,Bird,8111
3163,Dark-winged miner,Carnivore,Bird,4627
3164,Dark-winged trumpeter,Herbivore,Bird,10087
3165,D'Arnaud's barbet,Herbivore,Bird,0
3166,Dartford warbler,Carnivore,Bird,16805
3167,Darwin's flycatcher,Carnivore,Bird,4636
3168,Darwin's nothura,Herbivore,Bird,5145
3169,Darwin's rhea,Herbivore,Bird,19060
3170,Daurian jackdaw,Omnivore,Bird,3297
3171,Daurian partridge,Herbivore,Bird,5366
3172,Daurian redstart,Omnivore,Bird,4965
3173,Daurian starling,Omnivore,Bird,3318
3174,Davison's leaf warbler,Carnivore,Bird,5016
3175,Dead Sea sparrow,Herbivore,Bird,7781
3176,Delta Amacuro softtail,Carnivore,Bird,6807
3177,Demoiselle crane,Omnivore,Bird,9844
3178,Denham's bustard,Carnivore,Bird,7316
3179,Des Murs's wiretail,Carnivore,Bird,9022
3180,Desert cisticola,Carnivore,Bird,1240
3181,Desert finch,Herbivore,Bird,6742
3182,Desert lark,Omnivore,Bird,9740
3183,Desert owl,Carnivore,Bird,3421
3184,Desert sparrow,Omnivore,Bird,4120
3185,Desert wheatear,Carnivore,Bird,10682
3186,Desertas petrel,Carnivore,Bird,3472
3187,Diademed amazon,Herbivore,Bird,4325
3188,Diademed sandpiper-plover,Carnivore,Bird,7415
3189,Diademed tanager,Herbivore,Bird,4429
3190,Diademed tapaculo,Carnivore,Bird,3983
3191,Diamantina tapaculo,Carnivore,Bird,4907
3192,Diamond dove,Herbivore,Bird,7095
3193,Diamond firetail,Herbivore,Bird,12976
3194,Diard's trogon,Carnivore,Bird,2574
3195,Dickcissel,Omnivore,Bird,31289
3196,Dickinson's kestrel,Carnivore,Bird,5462
3197,Diederik cuckoo,Carnivore,Bird,7701
3198,Dimorphic dwarf kingfisher,Carnivore,Bird,4078
3199,Dimorphic fantail,Carnivore,Bird,1153
3200,Dinelli's doradito,Carnivore,Bird,1572
3201,Dja River scrub warbler,Carnivore,Bird,1052
3202,Djibouti spurfowl,Herbivore,Bird,20503
3203,Doherty's bushshrike,Carnivore,Bird,3530
3204,Dohrn's warbler,Omnivore,Bird,3368
3205,Dolphin gull,Omnivore,Bird,3926
3206,Donaldson Smith's nightjar,Carnivore,Bird,1033
3207,Donaldson Smith's sparrow-weaver,Omnivore,Bird,1132
3208,D'Orbigny's chat-tyrant,Carnivore,Bird,0
3209,Doria's goshawk,Carnivore,Bird,2794
3210,Dorst's cisticola,Carnivore,Bird,3252
3211,Dot-backed antbird,Carnivore,Bird,1437
3212,Dot-eared coquette,Herbivore,Bird,5457
3213,Dot-fronted woodpecker,Carnivore,Bird,7111
3214,Dotted tanager,Omnivore,Bird,1306
3215,Dot-winged antwren,Carnivore,Bird,5135
3216,Double-banded courser,Carnivore,Bird,6106
3217,Double-banded greytail,Carnivore,Bird,6562
3218,Double-banded plover,Carnivore,Bird,20644
3219,Double-banded pygmy tyrant,Carnivore,Bird,1943
3220,Double-banded sandgrouse,Herbivore,Bird,5761
3221,Double-barred finch,Herbivore,Bird,7357
3222,Double-collared seedeater,Herbivore,Bird,3869
3223,Double-eyed fig parrot,Herbivore,Bird,5894
3224,Double-spurred spurfowl,Herbivore,Bird,8129
3225,Double-striped thick-knee,Carnivore,Bird,7742
3226,Double-toothed barbet,Omnivore,Bird,5458
3227,Double-toothed kite,Carnivore,Bird,9475
3228,Downy woodpecker,Carnivore,Bird,18459
3229,Drab hemispingus,Carnivore,Bird,1098
3230,Drab myzomela,Herbivore,Bird,1282
3231,Drab seedeater,Herbivore,Bird,1131
3232,Drab water tyrant,Carnivore,Bird,7117
3233,Drab whistler,Carnivore,Bird,2801
3234,Drab-breasted bamboo tyrant,Carnivore,Bird,1302
3235,Drakensberg prinia,Carnivore,Bird,3425
3236,Drakensberg rockjumper,Carnivore,Bird,5369
3237,Drakensberg siskin,Herbivore,Bird,5245
3238,Drongo fantail,Carnivore,Bird,2928
3239,Dubois's seedeater,Herbivore,Bird,1389
3240,Duchess lorikeet,Herbivore,Bird,7403
3241,Dugand's antwren,Carnivore,Bird,1594
3242,Duida grass finch,Omnivore,Bird,1237
3243,Duida woodcreeper,Carnivore,Bird,8319
3244,Dulit frogmouth,Carnivore,Bird,5910
3245,Dull-blue flycatcher,Carnivore,Bird,3223
3246,Dull-coloured grassquit,Herbivore,Bird,1596
3247,Dull-mantled antbird,Carnivore,Bird,11908
3248,Dune lark,Omnivore,Bird,2852
3249,Dunlin,Carnivore,Bird,14654
3250,Dunnock,Omnivore,Bird,18616
3251,Dunn's lark,Herbivore,Bird,4754
3252,Dupont's lark,Omnivore,Bird,6137
3253,Dusky antbird,Carnivore,Bird,5176
3254,Dusky babbler,Carnivore,Bird,1253
3255,Dusky broadbill,Carnivore,Bird,2329
3256,Dusky crag martin,Carnivore,Bird,19455
3257,Dusky crested flycatcher,Carnivore,Bird,1286
3258,Dusky crimsonwing,Herbivore,Bird,1216
3259,Dusky eagle-owl,Carnivore,Bird,6206
3260,Dusky fulvetta,Carnivore,Bird,1450
3261,Dusky gerygone,Carnivore,Bird,1531
3262,Dusky grasswren,Omnivore,Bird,12849
3263,Dusky grouse,Herbivore,Bird,5113
3264,Dusky hummingbird,Herbivore,Bird,7464
3265,Dusky indigobird,Herbivore,Bird,1645
3266,Dusky lark,Carnivore,Bird,2713
3267,Dusky long-tailed cuckoo,Carnivore,Bird,5380
3268,Dusky lory,Herbivore,Bird,3731
3269,Dusky megapode,Herbivore,Bird,3424
3270,Dusky moorhen,Herbivore,Bird,13042
3271,Dusky munia,Herbivore,Bird,6177
3272,Dusky myzomela,Herbivore,Bird,2635
3273,Dusky nightjar,Carnivore,Bird,4627
3274,Dusky parrot,Herbivore,Bird,4053
3275,Dusky pigeon,Herbivore,Bird,3980
3276,Dusky piha,Herbivore,Bird,1464
3277,Dusky purpletuft,Carnivore,Bird,1758
3278,Dusky robin,Carnivore,Bird,12379
3279,Dusky spinetail,Carnivore,Bird,1109
3280,Dusky starfrontlet,Herbivore,Bird,8912
3281,Dusky sunbird,Omnivore,Bird,1486
3282,Dusky tapaculo,Carnivore,Bird,3806
3283,Dusky tetraka,Carnivore,Bird,2033
3284,Dusky thrush,Omnivore,Bird,3991
3285,Dusky tit,Omnivore,Bird,5487
3286,Dusky turtle dove,Herbivore,Bird,1598
3287,Dusky twinspot,Herbivore,Bird,1389
3288,Dusky warbler,Carnivore,Bird,3278
3289,Dusky white-eye,Herbivore,Bird,1201
3290,Dusky woodswallow,Carnivore,Bird,9935
3291,Dusky-backed jacamar,Carnivore,Bird,4614
3292,Dusky-billed parrotlet,Herbivore,Bird,8418
3293,Dusky-blue flycatcher,Carnivore,Bird,1188
3294,Dusky-brown oriole,Omnivore,Bird,1212
3295,Dusky-capped flycatcher,Carnivore,Bird,3547
3296,Dusky-capped greenlet,Carnivore,Bird,1291
3297,Dusky-chested flycatcher,Omnivore,Bird,1753
3298,Dusky-faced tanager,Omnivore,Bird,6365
3299,Dusky-green oropendola,Carnivore,Bird,4057
3300,Dusky-headed brushfinch,Omnivore,Bird,1382
3301,Dusky-headed parakeet,Herbivore,Bird,5490
3302,Dusky-legged guan,Herbivore,Bird,4109
3303,Dusky-tailed antbird,Carnivore,Bird,3720
3304,Dusky-tailed canastero,Carnivore,Bird,9197
3305,Dusky-tailed flatbill,Carnivore,Bird,1415
3306,Dusky-throated antshrike,Carnivore,Bird,2616
3307,Dusky-throated hermit,Herbivore,Bird,5247
3308,Dwarf bittern,Carnivore,Bird,2520
3309,Dwarf cassowary,Herbivore,Bird,9485
3310,Dwarf cuckoo,Carnivore,Bird,1583
3311,Dwarf fruit dove,Herbivore,Bird,5573
3312,Dwarf honeyguide,Carnivore,Bird,1132
3313,Dwarf jay,Carnivore,Bird,1598
3314,Dwarf koel,Herbivore,Bird,1643
3315,Dwarf sparrowhawk,Carnivore,Bird,2100
3316,Dwarf tinamou,Omnivore,Bird,6850
3317,Dwarf tyrant-manakin,Herbivore,Bird,1710
3318,Dwarf vireo,Carnivore,Bird,1156
3319,Dybowski's twinspot,Omnivore,Bird,2558
3320,Eared dove,Herbivore,Bird,9403
3321,Eared pitta,Carnivore,Bird,4440
3322,Eared poorwill,Carnivore,Bird,5132
3323,Eared pygmy tyrant,Carnivore,Bird,1640
3324,Eared quetzal,Omnivore,Bird,10384
3325,East Amazonian fire-eye,Carnivore,Bird,2548
3326,East Andean antbird,Carnivore,Bird,2752
3327,East Brazilian chachalaca,Herbivore,Bird,4343
3328,East Brazilian pygmy owl,Carnivore,Bird,4810
3329,East coast akalat,Carnivore,Bird,1986
3330,East Coast boubou,Carnivore,Bird,2482
3331,Eastern alpine mannikin,Herbivore,Bird,1229
3332,Eastern bearded greenbul,Carnivore,Bird,2865
3333,Eastern black-headed batis,Carnivore,Bird,4240
3334,Eastern bluebird,Carnivore,Bird,20878
3335,Eastern bluebonnet,Herbivore,Bird,10567
