,Species1,Family1,Order1,Mass,Wing.Length,Habitat,Habitat.Density,Trophic.Level,Primary.Lifestyle,Centroid.Latitude,Centroid.Longitude,Animals
0,Accipiter albogularis,Accipitridae,Accipitriformes,248.8,235.2,Forest,1,Carnivore,Insessorial,-8.15,158.49,Pied goshawk
1,Accipiter badius,Accipitridae,Accipitriformes,131.2,186.7,Shrubland,2,Carnivore,Insessorial,8.23,44.98,Shikra
2,Accipiter bicolor,Accipitridae,Accipitriformes,287.5,229.6,Woodland,2,Carnivore,Generalist,-10.1,-59.96,Bicolored hawk
3,Accipiter brachyurus,Accipitridae,Accipitriformes,142.0,202.2,Forest,1,Carnivore,Insessorial,-5.45,150.68,New Britain sparrowhawk
4,Accipiter brevipes,Accipitridae,Accipitriformes,186.5,217.6,Forest,1,Carnivore,Generalist,45.24,45.33,Levant sparrowhawk
5,Accipiter butleri,Accipitridae,Accipitriformes,122.0,166.0,Forest,1,Carnivore,Insessorial,8.42,93.17,Nicobar sparrowhawk
6,Accipiter castanilius,Accipitridae,Accipitriformes,157.5,163.5,Forest,1,Carnivore,Insessorial,0.71,18.29,Chestnut-flanked sparrowhawk
7,Accipiter cirrocephalus,Accipitridae,Accipitriformes,165.7,213.0,Forest,1,Carnivore,Generalist,-23.36,137.81,Collared sparrowhawk
8,Accipiter collaris,Accipitridae,Accipitriformes,97.8,165.9,Forest,1,Carnivore,Insessorial,2.47,-75.57,Semicollared hawk
9,Accipiter cooperii,Accipitridae,Accipitriformes,429.7,241.2,Woodland,2,Carnivore,Aerial,41.25,-100.49,Cooper's hawk
10,Accipiter erythrauchen,Accipitridae,Accipitriformes,156.0,191.2,Forest,1,Carnivore,Generalist,-1.32,128.19,Rufous-necked sparrowhawk
11,Accipiter erythropus,Accipitridae,Accipitriformes,111.2,154.6,Forest,1,Carnivore,Insessorial,3.48,10.44,Red-thighed sparrowhawk
12,Accipiter fasciatus,Accipitridae,Accipitriformes,358.7,269.9,Forest,1,Carnivore,Generalist,-24.45,134.95,Brown goshawk
13,Accipiter francesiae,Accipitridae,Accipitriformes,136.8,155.8,Forest,1,Carnivore,Insessorial,-19.49,46.67,Frances's sparrowhawk
14,Accipiter gentilis,Accipitridae,Accipitriformes,866.0,337.6,Forest,1,Carnivore,Generalist,54.91,19.06,Eurasian_goshawk
15,Accipiter griseiceps,Accipitridae,Accipitriformes,251.8,187.2,Forest,1,Carnivore,Insessorial,-1.96,121.18,Sulawesi goshawk
16,Accipiter gularis,Accipitridae,Accipitriformes,120.7,162.6,Forest,1,Carnivore,Insessorial,49.07,117.11,Japanese sparrowhawk
17,Accipiter gundlachi,Accipitridae,Accipitriformes,675.0,228.0,Forest,1,Carnivore,Aerial,21.62,-79.36,Gundlach's hawk
18,Accipiter haplochrous,Accipitridae,Accipitriformes,198.4,227.8,Forest,1,Carnivore,Insessorial,-21.33,165.48,White-bellied goshawk
19,Accipiter henicogrammus,Accipitridae,Accipitriformes,358.7,230.2,Forest,1,Carnivore,Insessorial,0.88,128.01,Moluccan goshawk
20,Accipiter henstii,Accipitridae,Accipitriformes,1050.0,290.5,Forest,1,Carnivore,Insessorial,-18.72,46.85,Henst's goshawk
21,Accipiter hiogaster,Accipitridae,Accipitriformes,326.1,197.2,Forest,1,Carnivore,Insessorial,-5.26,141.22,Variable goshawk
22,Accipiter imitator,Accipitridae,Accipitriformes,222.5,200.0,Forest,1,Carnivore,Insessorial,-6.76,156.47,Imitator goshawk
23,Accipiter luteoschistaceus,Accipitridae,Accipitriformes,214.0,188.0,Forest,1,Carnivore,Insessorial,-5.5,150.45,Slaty-mantled goshawk
24,Accipiter madagascariensis,Accipitridae,Accipitriformes,180.4,190.8,Forest,1,Carnivore,Insessorial,-19.43,46.69,Madagascar sparrowhawk
25,Accipiter melanochlamys,Accipitridae,Accipitriformes,265.0,228.6,Forest,1,Carnivore,Generalist,-5.31,141.87,Black-mantled goshawk
26,Accipiter melanoleucus,Accipitridae,Accipitriformes,699.0,302.8,Forest,1,Carnivore,Generalist,-5.51,25.85,Black sparrowhawk
27,Accipiter meyerianus,Accipitridae,Accipitriformes,763.5,309.5,Forest,1,Carnivore,Generalist,-4.7,141.36,Meyer's goshawk
28,Accipiter minullus,Accipitridae,Accipitriformes,87.4,150.4,Forest,1,Carnivore,Generalist,-9.71,29.57,Little sparrowhawk
29,Accipiter nanus,Accipitridae,Accipitriformes,117.0,152.4,Forest,1,Carnivore,Insessorial,-1.08,121.34,Dwarf sparrowhawk
30,Accipiter nisus,Accipitridae,Accipitriformes,220.8,207.4,Forest,1,Carnivore,Insessorial,54.67,77.29,Eurasian sparrowhawk
31,Accipiter novaehollandiae,Accipitridae,Accipitriformes,326.1,261.9,Forest,1,Carnivore,Insessorial,-26.72,143.49,Grey goshawk
32,Accipiter ovampensis,Accipitridae,Accipitriformes,195.0,222.4,Shrubland,2,Carnivore,Aerial,-8.53,23.37,Ovambo sparrowhawk
33,Accipiter poliocephalus,Accipitridae,Accipitriformes,214.8,210.5,Forest,1,Carnivore,Insessorial,-5.32,140.74,Grey-headed goshawk
34,Accipiter poliogaster,Accipitridae,Accipitriformes,315.0,240.4,Forest,1,Carnivore,Insessorial,-7.81,-60.09,Grey-bellied hawk
35,Accipiter princeps,Accipitridae,Accipitriformes,214.8,266.3,Forest,1,Carnivore,Insessorial,-5.35,151.04,New Britain goshawk
36,Accipiter rhodogaster,Accipitridae,Accipitriformes,172.7,172.6,Forest,1,Carnivore,Insessorial,-1.93,121.39,Vinous-breasted sparrowhawk
37,Accipiter rufitorques,Accipitridae,Accipitriformes,209.0,217.6,Forest,1,Carnivore,Generalist,-17.45,169.39,Fiji goshawk
38,Accipiter rufiventris,Accipitridae,Accipitriformes,198.0,218.6,Forest,1,Carnivore,Aerial,-7.01,32.6,Rufous-breasted sparrowhawk
39,Accipiter soloensis,Accipitridae,Accipitriformes,164.8,187.8,Forest,1,Carnivore,Insessorial,31.97,117.13,Chinese sparrowhawk
40,Accipiter striatus,Accipitridae,Accipitriformes,130.6,181.6,Forest,1,Carnivore,Aerial,34.35,-96.11,Sharp-shinned hawk
41,Accipiter superciliosus,Accipitridae,Accipitriformes,96.4,146.4,Forest,1,Carnivore,Aerial,-6.22,-60.98,Tiny hawk
42,Accipiter sylvestris,Accipitridae,Accipitriformes,326.1,206.4,Forest,1,Carnivore,Insessorial,-8.57,120.12,Lesser Sundas goshawk
43,Accipiter tachiro,Accipitridae,Accipitriformes,290.2,217.4,Forest,1,Carnivore,Aerial,-12.54,29.9,African goshawk
44,Accipiter toussenelii,Accipitridae,Accipitriformes,249.3,189.0,Forest,1,Carnivore,Insessorial,3.51,15.99,Red-chested goshawk
45,Accipiter trinotatus,Accipitridae,Accipitriformes,146.0,162.9,Forest,1,Carnivore,Insessorial,-1.81,121.37,Spot-tailed sparrowhawk
46,Accipiter trivirgatus,Accipitridae,Accipitriformes,265.0,216.2,Forest,1,Carnivore,Insessorial,13.91,101.71,Crested goshawk
47,Accipiter virgatus,Accipitridae,Accipitriformes,117.0,167.7,Forest,1,Carnivore,Generalist,22.08,101.25,Besra
48,Aegypius monachus,Accipitridae,Accipitriformes,9320.6,734.2,Forest,2,Scavenger,Terrestrial,41.63,87.87,Cinereous vulture
49,Aquila adalberti,Accipitridae,Accipitriformes,2958.0,592.5,Woodland,1,Carnivore,Generalist,39.06,-5.23,Spanish imperial eagle
50,Aquila africana,Accipitridae,Accipitriformes,1047.0,342.2,Woodland,1,Carnivore,Generalist,1.97,13.68,Cassin's hawk-eagle
51,Aquila audax,Accipitridae,Accipitriformes,3449.9,617.7,Woodland,1,Carnivore,Generalist,-25.74,134.48,Wedge-tailed eagle
52,Aquila chrysaetos,Accipitridae,Accipitriformes,4248.0,603.1,Grassland,3,Carnivore,Aerial,50.67,38.05,Golden eagle
53,Aquila fasciata,Accipitridae,Accipitriformes,1936.5,486.8,Rock,3,Carnivore,Aerial,27.52,62.08,Bonelli's eagle
54,Aquila gurneyi,Accipitridae,Accipitriformes,3060.0,544.5,Forest,1,Carnivore,Aerial,-5.05,140.46,Gurney's eagle
55,Aquila heliaca,Accipitridae,Accipitriformes,3125.2,582.2,Woodland,1,Carnivore,Generalist,49.87,70.89,Eastern imperial eagle
56,Aquila nipalensis,Accipitridae,Accipitriformes,2714.3,559.6,Grassland,3,Carnivore,Aerial,43.73,85.14,Steppe eagle
57,Aquila rapax,Accipitridae,Accipitriformes,2236.1,506.6,Shrubland,2,Carnivore,Generalist,3.92,30.52,Tawny eagle
58,Aquila spilogaster,Accipitridae,Accipitriformes,1466.2,427.6,Grassland,3,Carnivore,Generalist,-2.84,24.33,African hawk-eagle
59,Aquila verreauxii,Accipitridae,Accipitriformes,4195.0,590.2,Rock,3,Carnivore,Aerial,-9.59,29.12,Verreaux's eagle
60,Aviceda cuculoides,Accipitridae,Accipitriformes,277.0,264.6,Forest,1,Carnivore,Insessorial,-3.74,21.08,African cuckoo-hawk
61,Aviceda jerdoni,Accipitridae,Accipitriformes,363.0,302.8,Forest,2,Carnivore,Insessorial,6.17,107.44,Jerdon's baza
62,Aviceda leuphotes,Accipitridae,Accipitriformes,194.0,230.6,Forest,2,Carnivore,Insessorial,23.21,103.96,Black baza
63,Aviceda madagascariensis,Accipitridae,Accipitriformes,277.0,314.2,Forest,1,Carnivore,Insessorial,-18.1,47.27,Madagascar cuckoo-hawk
64,Aviceda subcristata,Accipitridae,Accipitriformes,322.7,336.6,Forest,2,Carnivore,Insessorial,-12.44,141.78,Pacific baza
65,Busarellus nigricollis,Accipitridae,Accipitriformes,766.1,393.5,Forest,1,Carnivore,Insessorial,-7.16,-59.48,Black-collared hawk
66,Butastur indicus,Accipitridae,Accipitriformes,414.6,327.6,Woodland,2,Carnivore,Insessorial,44.31,129.81,Grey-faced buzzard
67,Butastur liventer,Accipitridae,Accipitriformes,338.0,275.0,Woodland,3,Carnivore,Insessorial,12.53,104.1,Rufous-winged buzzard
68,Butastur rufipennis,Accipitridae,Accipitriformes,334.9,311.2,Woodland,3,Carnivore,Insessorial,12.64,11.75,Grasshopper buzzard
69,Butastur teesa,Accipitridae,Accipitriformes,325.0,295.4,Woodland,3,Carnivore,Insessorial,23.18,78.91,White-eyed buzzard
70,Buteo albigula,Accipitridae,Accipitriformes,525.0,291.0,Forest,2,Carnivore,Generalist,-24.5,-72.05,White-throated hawk
71,Buteo albonotatus,Accipitridae,Accipitriformes,745.9,398.0,Forest,1,Carnivore,Aerial,0.47,-69.62,Zone-tailed hawk
72,Buteo augur,Accipitridae,Accipitriformes,1099.2,410.2,Woodland,2,Carnivore,Insessorial,-5.73,31.96,Augur buzzard
73,Buteo auguralis,Accipitridae,Accipitriformes,663.9,356.2,Forest,1,Carnivore,Insessorial,7.61,12.15,Red-necked buzzard
74,Buteo brachypterus,Accipitridae,Accipitriformes,511.0,315.4,Forest,1,Carnivore,Insessorial,-19.38,46.7,Madagascar buzzard
75,Buteo brachyurus,Accipitridae,Accipitriformes,496.0,307.6,Forest,1,Carnivore,Aerial,-5.09,-62.04,Short-tailed hawk
76,Buteo buteo,Accipitridae,Accipitriformes,759.1,382.9,Grassland,3,Carnivore,Insessorial,52.89,40.23,Common buzzard
77,Buteo galapagoensis,Accipitridae,Accipitriformes,1137.4,402.6,Woodland,1,Carnivore,Aerial,-0.44,-91.13,Galapagos hawk
78,Buteo hemilasius,Accipitridae,Accipitriformes,1358.9,467.2,Grassland,3,Carnivore,Generalist,42.4,100.83,Upland buzzard
79,Buteo jamaicensis,Accipitridae,Accipitriformes,1101.2,402.8,Woodland,2,Carnivore,Insessorial,45.5,-105.33,Red-tailed hawk
80,Buteo japonicus,Accipitridae,Accipitriformes,759.1,395.0,Grassland,3,Carnivore,Insessorial,54.33,126.58,Eastern buzzard
81,Buteo lagopus,Accipitridae,Accipitriformes,949.8,428.3,Grassland,3,Carnivore,Insessorial,67.33,2.14,Rough-legged buzzard
82,Buteo lineatus,Accipitridae,Accipitriformes,603.7,319.0,Woodland,1,Carnivore,Aerial,37.72,-86.88,Red-shouldered hawk
83,Buteo nitidus,Accipitridae,Accipitriformes,519.0,247.3,Forest,1,Carnivore,Insessorial,-6.6,-57.82,Gray-lined hawk
84,Buteo oreophilus,Accipitridae,Accipitriformes,700.0,346.0,Forest,1,Carnivore,Insessorial,1.09,35.38,Mountain buzzard
85,Buteo plagiatus,Accipitridae,Accipitriformes,519.0,267.9,Forest,1,Carnivore,Insessorial,19.92,-96.08,Gray hawk
86,Buteo platypterus,Accipitridae,Accipitriformes,453.7,277.7,Forest,2,Carnivore,Insessorial,42.9,-87.09,Broad-winged hawk
87,Buteo refectus,Accipitridae,Accipitriformes,759.1,346.0,Grassland,3,Carnivore,Insessorial,29.54,82.67,Himalayan buzzard
88,Buteo regalis,Accipitridae,Accipitriformes,1437.2,431.0,Grassland,3,Carnivore,Generalist,43.14,-108.76,Ferruginous hawk
89,Buteo ridgwayi,Accipitridae,Accipitriformes,315.0,222.5,Forest,1,Carnivore,Insessorial,19.07,-69.57,Ridgway's hawk
90,Buteo rufinus,Accipitridae,Accipitriformes,1166.2,447.5,Grassland,3,Carnivore,Generalist,40.86,49.85,Long-legged buzzard
91,Buteo rufofuscus,Accipitridae,Accipitriformes,1530.0,413.2,Grassland,3,Carnivore,Generalist,-28.14,23.03,Jackal buzzard
92,Buteo socotraensis,Accipitridae,Accipitriformes,759.1,323.0,Grassland,3,Carnivore,Insessorial,12.51,53.87,Socotra buzzard
93,Buteo solitarius,Accipitridae,Accipitriformes,500.9,270.2,Forest,1,Carnivore,Insessorial,19.6,-155.53,Hawaiian hawk
94,Buteo swainsoni,Accipitridae,Accipitriformes,946.6,383.7,Grassland,3,Carnivore,Insessorial,40.95,-107.07,Swainson's hawk
95,Buteo trizonatus,Accipitridae,Accipitriformes,568.0,345.8,Forest,1,Carnivore,Insessorial,-33.55,22.91,Forest buzzard
96,Buteo ventralis,Accipitridae,Accipitriformes,1190.5,359.0,Forest,1,Carnivore,Insessorial,-47.95,-71.73,Rufous-tailed hawk
97,Buteogallus aequinoctialis,Accipitridae,Accipitriformes,657.6,316.2,Woodland,2,Carnivore,Insessorial,-3.65,-47.36,Rufous crab hawk
98,Buteogallus anthracinus,Accipitridae,Accipitriformes,975.1,355.2,Woodland,2,Carnivore,Insessorial,18.62,-93.02,Common black hawk
99,Buteogallus coronatus,Accipitridae,Accipitriformes,2950.0,533.0,Shrubland,2,Carnivore,Insessorial,-22.07,-55.75,Chaco eagle
100,Buteogallus gundlachii,Accipitridae,Accipitriformes,975.1,348.1,Woodland,2,Carnivore,Insessorial,21.78,-80.11,Cuban black hawk
101,Buteogallus lacernulatus,Accipitridae,Accipitriformes,312.0,293.8,Forest,1,Carnivore,Insessorial,-17.46,-41.19,White-necked hawk
102,Buteogallus meridionalis,Accipitridae,Accipitriformes,808.0,416.4,Grassland,3,Carnivore,Insessorial,-12.06,-55.31,Savanna hawk
103,Buteogallus schistaceus,Accipitridae,Accipitriformes,1000.0,272.0,Forest,1,Carnivore,Insessorial,-5.46,-66.17,Slate-colored hawk
104,Buteogallus solitarius,Accipitridae,Accipitriformes,3000.0,526.2,Forest,1,Carnivore,Insessorial,3.86,-82.33,Solitary eagle
105,Buteogallus urubitinga,Accipitridae,Accipitriformes,1152.9,399.7,Woodland,2,Carnivore,Insessorial,-7.52,-61.52,Great black hawk
106,Chelictinia riocourii,Accipitridae,Accipitriformes,110.0,240.2,Shrubland,2,Carnivore,Aerial,14.35,10.53,Scissor-tailed kite
107,Chondrohierax uncinatus,Accipitridae,Accipitriformes,286.1,285.3,Forest,2,Carnivore,Insessorial,-2.71,-64.2,Hook-billed kite
108,Chondrohierax wilsonii,Accipitridae,Accipitriformes,286.1,244.0,Forest,2,Carnivore,Insessorial,20.47,-74.96,Cuban kite
109,Circaetus beaudouini,Accipitridae,Accipitriformes,1500.0,501.8,Woodland,2,Carnivore,Insessorial,11.2,6.2,Beaudouin's snake eagle
110,Circaetus cinerascens,Accipitridae,Accipitriformes,1126.0,379.5,Forest,1,Carnivore,Insessorial,-0.6,18.67,Western banded snake eagle
111,Circaetus cinereus,Accipitridae,Accipitriformes,2048.0,517.8,Shrubland,2,Carnivore,Insessorial,-3.63,22.83,Brown snake eagle
112,Circaetus fasciolatus,Accipitridae,Accipitriformes,1013.6,362.2,Woodland,3,Carnivore,Insessorial,-10.35,37.83,Southern banded snake eagle
113,Circaetus gallicus,Accipitridae,Accipitriformes,1699.1,537.0,Woodland,3,Carnivore,Aerial,40.79,51.26,Short-toed snake eagle
114,Circaetus pectoralis,Accipitridae,Accipitriformes,1500.0,527.8,Woodland,2,Carnivore,Generalist,-10.32,28.83,Black-chested snake eagle
115,Circus aeruginosus,Accipitridae,Accipitriformes,704.1,405.7,Wetland,3,Carnivore,Aerial,50.03,51.14,Western marsh harrier
116,Circus approximans,Accipitridae,Accipitriformes,746.2,406.9,Wetland,3,Carnivore,Aerial,-33.9,146.38,Swamp harrier
117,Circus assimilis,Accipitridae,Accipitriformes,558.6,421.6,Grassland,3,Carnivore,Aerial,-25.0,134.02,Spotted harrier
118,Circus buffoni,Accipitridae,Accipitriformes,507.4,436.0,Grassland,3,Carnivore,Aerial,-22.38,-55.29,Long-winged harrier
119,Circus cinereus,Accipitridae,Accipitriformes,399.7,344.5,Grassland,3,Carnivore,Aerial,-36.62,-69.21,Cinereous harrier
120,Circus cyaneus,Accipitridae,Accipitriformes,393.0,352.4,Grassland,3,Carnivore,Aerial,58.07,84.36,Hen harrier
121,Circus hudsonius,Accipitridae,Accipitriformes,393.0,360.9,Grassland,3,Carnivore,Aerial,52.86,-111.67,Northern harrier
122,Circus macrosceles,Accipitridae,Accipitriformes,663.6,420.9,Grassland,3,Carnivore,Aerial,-19.14,46.18,Malagasy harrier
123,Circus macrourus,Accipitridae,Accipitriformes,384.4,351.2,Grassland,3,Carnivore,Aerial,51.02,62.85,Pallid harrier
124,Circus maillardi,Accipitridae,Accipitriformes,663.6,353.2,Forest,1,Carnivore,Aerial,-21.1,55.53,Réunion harrier
125,Circus maurus,Accipitridae,Accipitriformes,509.0,352.4,Shrubland,2,Carnivore,Aerial,-30.91,22.27,Black harrier
126,Circus melanoleucos,Accipitridae,Accipitriformes,336.3,352.6,Grassland,3,Carnivore,Aerial,49.1,122.04,Pied harrier
127,Circus pygargus,Accipitridae,Accipitriformes,310.8,362.3,Grassland,3,Carnivore,Aerial,49.91,45.8,Montagu's harrier
128,Circus ranivorus,Accipitridae,Accipitriformes,507.0,363.2,Wetland,3,Carnivore,Aerial,-14.6,29.56,African marsh harrier
129,Circus spilonotus,Accipitridae,Accipitriformes,558.8,407.2,Wetland,3,Carnivore,Aerial,52.88,121.45,Eastern marsh harrier
130,Circus spilothorax,Accipitridae,Accipitriformes,558.8,377.4,Wetland,3,Carnivore,Aerial,-7.05,144.56,Papuan harrier
131,Clanga clanga,Accipitridae,Accipitriformes,2154.3,510.6,Wetland,3,Carnivore,Generalist,55.15,73.97,Greater spotted eagle
132,Clanga hastata,Accipitridae,Accipitriformes,1359.4,456.5,Woodland,2,Carnivore,Generalist,21.43,81.1,Indian spotted eagle
133,Clanga pomarina,Accipitridae,Accipitriformes,1359.4,459.3,Forest,1,Carnivore,Generalist,49.67,26.85,Lesser spotted eagle
134,Cryptoleucopteryx plumbea,Accipitridae,Accipitriformes,482.0,238.0,Forest,1,Carnivore,Insessorial,4.34,-77.68,Plumbeous hawk
135,Dryotriorchis spectabilis,Accipitridae,Accipitriformes,697.0,290.5,Forest,1,Carnivore,Insessorial,2.03,15.98,Congo serpent eagle
136,Elanoides forficatus,Accipitridae,Accipitriformes,416.2,412.8,Forest,2,Carnivore,Generalist,-5.62,-60.19,Swallow-tailed kite
137,Elanus axillaris,Accipitridae,Accipitriformes,270.1,288.4,Grassland,3,Carnivore,Aerial,-25.69,134.44,Black-shouldered kite
138,Elanus caeruleus,Accipitridae,Accipitriformes,259.8,286.3,Grassland,3,Carnivore,Aerial,3.69,41.21,Black-winged kite
139,Elanus leucurus,Accipitridae,Accipitriformes,346.0,294.0,Human Modified,3,Carnivore,Aerial,-8.72,-64.01,White-tailed kite
140,Elanus scriptus,Accipitridae,Accipitriformes,316.0,302.2,Grassland,3,Carnivore,Aerial,-22.87,139.41,Letter-winged kite
141,Erythrotriorchis buergersi,Accipitridae,Accipitriformes,575.0,310.7,Forest,1,Carnivore,Generalist,-5.51,142.42,Chestnut-shouldered goshawk
142,Erythrotriorchis radiatus,Accipitridae,Accipitriformes,887.4,387.2,Forest,1,Carnivore,Aerial,-17.74,138.86,Red goshawk
143,Eutriorchis astur,Accipitridae,Accipitriformes,700.0,318.5,Forest,1,Carnivore,Insessorial,-16.44,49.12,Madagascar serpent eagle
144,Gampsonyx swainsonii,Accipitridae,Accipitriformes,92.9,147.7,Forest,2,Carnivore,Insessorial,-8.71,-56.23,Pearl kite
145,Geranoaetus albicaudatus,Accipitridae,Accipitriformes,885.0,427.0,Grassland,3,Carnivore,Generalist,-11.82,-58.97,White-tailed hawk
146,Geranoaetus melanoleucus,Accipitridae,Accipitriformes,2378.6,496.2,Shrubland,2,Carnivore,Aerial,-27.4,-60.94,Black-chested buzzard-eagle
147,Geranoaetus polyosoma,Accipitridae,Accipitriformes,782.6,402.0,Shrubland,2,Carnivore,Aerial,-31.98,-70.13,Variable hawk
148,Geranospiza caerulescens,Accipitridae,Accipitriformes,302.5,269.1,Woodland,2,Carnivore,Insessorial,-6.64,-60.96,Crane hawk
149,Gypaetus barbatus,Accipitridae,Accipitriformes,5695.0,760.6,Rock,3,Scavenger,Terrestrial,34.75,76.41,Bearded vulture
150,Gypohierax angolensis,Accipitridae,Accipitriformes,1600.0,419.0,Forest,2,Herbivore,Insessorial,-1.17,16.99,Palm-nut vulture
151,Gyps africanus,Accipitridae,Accipitriformes,5433.0,578.4,Shrubland,2,Scavenger,Terrestrial,-2.52,23.47,White-backed vulture
152,Gyps bengalensis,Accipitridae,Accipitriformes,4385.0,551.6,Grassland,3,Scavenger,Terrestrial,23.99,83.33,White-rumped vulture
153,Gyps coprotheres,Accipitridae,Accipitriformes,8177.0,687.2,Grassland,3,Scavenger,Terrestrial,-27.31,27.73,Cape vulture
154,Gyps fulvus,Accipitridae,Accipitriformes,7436.0,687.2,Grassland,3,Scavenger,Terrestrial,36.3,52.81,Eurasian griffon vulture
155,Gyps himalayensis,Accipitridae,Accipitriformes,9798.0,759.8,Rock,3,Scavenger,Terrestrial,34.8,88.99,Himalayan vulture
156,Gyps indicus,Accipitridae,Accipitriformes,5515.0,585.6,Grassland,3,Scavenger,Terrestrial,23.08,77.41,Indian vulture
157,Gyps rueppelli,Accipitridae,Accipitriformes,7400.0,627.8,Grassland,3,Scavenger,Terrestrial,9.89,20.78,Rüppell's vulture
158,Gyps tenuirostris,Accipitridae,Accipitriformes,5515.0,592.2,Woodland,3,Scavenger,Terrestrial,24.18,93.19,Slender-billed vulture
159,Haliaeetus albicilla,Accipitridae,Accipitriformes,4729.3,599.5,Rock,3,Carnivore,Aerial,59.89,91.01,White-tailed eagle
160,Haliaeetus leucocephalus,Accipitridae,Accipitriformes,4700.6,601.8,Wetland,3,Carnivore,Generalist,54.57,-113.86,Bald eagle
161,Haliaeetus leucogaster,Accipitridae,Accipitriformes,2827.0,556.7,Coastal,2,Carnivore,Aerial,-9.12,123.68,White-bellied sea eagle
162,Haliaeetus leucoryphus,Accipitridae,Accipitriformes,2885.9,566.6,Wetland,3,Carnivore,Aerial,27.12,85.7,Pallas's fish eagle
163,Haliaeetus pelagicus,Accipitridae,Accipitriformes,7757.0,598.5,Wetland,3,Carnivore,Generalist,58.65,151.19,Steller's sea eagle
164,Haliaeetus sanfordi,Accipitridae,Accipitriformes,1980.0,523.2,Forest,2,Carnivore,Generalist,-8.09,158.3,Sanford's sea eagle
165,Haliaeetus vocifer,Accipitridae,Accipitriformes,3400.0,548.2,Wetland,2,Carnivore,Insessorial,-0.96,20.97,African fish eagle
166,Haliaeetus vociferoides,Accipitridae,Accipitriformes,3000.0,487.2,Woodland,2,Carnivore,Insessorial,-17.15,45.57,Madagascar fish eagle
167,Haliastur indus,Accipitridae,Accipitriformes,529.0,399.8,Coastal,2,Carnivore,Generalist,9.01,106.46,Brahminy kite
168,Haliastur sphenurus,Accipitridae,Accipitriformes,753.0,407.4,Wetland,2,Carnivore,Aerial,-23.9,137.2,Whistling kite
169,Hamirostra melanosternon,Accipitridae,Accipitriformes,1196.0,472.6,Woodland,2,Carnivore,Aerial,-23.36,133.35,Black-breasted buzzard
170,Harpagus bidentatus,Accipitridae,Accipitriformes,215.3,210.3,Forest,2,Carnivore,Insessorial,-2.54,-63.34,Double-toothed kite
171,Harpagus diodon,Accipitridae,Accipitriformes,200.0,201.4,Forest,2,Carnivore,Insessorial,-21.13,-50.61,Rufous-thighed kite
172,Harpia harpyja,Accipitridae,Accipitriformes,4800.0,569.5,Forest,1,Carnivore,Insessorial,-8.03,-56.95,Harpy eagle
173,Harpyopsis novaeguineae,Accipitridae,Accipitriformes,1959.6,426.2,Forest,1,Carnivore,Insessorial,-5.26,140.92,Papuan eagle
174,Helicolestes hamatus,Accipitridae,Accipitriformes,425.5,290.3,Forest,2,Carnivore,Insessorial,-3.11,-65.26,Slender-billed kite
175,Henicopernis infuscatus,Accipitridae,Accipitriformes,571.2,337.0,Forest,2,Carnivore,Generalist,-5.47,150.66,Black honey buzzard
176,Henicopernis longicauda,Accipitridae,Accipitriformes,571.2,394.6,Forest,2,Carnivore,Generalist,-5.35,140.86,Long-tailed honey buzzard
177,Hieraaetus ayresii,Accipitridae,Accipitriformes,806.1,383.5,Woodland,3,Carnivore,Aerial,-5.21,29.21,Ayres's hawk-eagle
178,Hieraaetus morphnoides,Accipitridae,Accipitriformes,775.1,364.8,Forest,2,Carnivore,Generalist,-25.34,134.65,Little eagle
179,Hieraaetus pennatus,Accipitridae,Accipitriformes,823.8,361.8,Forest,1,Carnivore,Generalist,42.1,55.17,Booted eagle
180,Hieraaetus wahlbergi,Accipitridae,Accipitriformes,640.0,413.8,Shrubland,2,Carnivore,Insessorial,-4.41,23.1,Wahlberg's eagle
181,Hieraaetus weiskei,Accipitridae,Accipitriformes,775.1,337.0,Forest,1,Carnivore,Generalist,-5.34,141.06,Pygmy eagle
182,Icthyophaga humilis,Accipitridae,Accipitriformes,782.0,353.2,Wetland,3,Carnivore,Insessorial,9.46,104.74,Lesser fish eagle
183,Icthyophaga ichthyaetus,Accipitridae,Accipitriformes,1590.0,471.2,Woodland,3,Carnivore,Insessorial,10.81,102.19,Grey-headed fish eagle
184,Ictinaetus malaiensis,Accipitridae,Accipitriformes,1028.0,552.8,Forest,1,Carnivore,Aerial,9.61,101.89,Black eagle
185,Ictinia mississippiensis,Accipitridae,Accipitriformes,276.0,291.8,Woodland,2,Carnivore,Generalist,33.57,-92.91,Mississippi kite
186,Ictinia plumbea,Accipitridae,Accipitriformes,249.9,285.6,Forest,2,Carnivore,Generalist,-7.01,-60.39,Plumbeous kite
187,Kaupifalco monogrammicus,Accipitridae,Accipitriformes,278.9,217.4,Woodland,3,Carnivore,Insessorial,-0.96,19.34,Lizard buzzard
188,Leptodon cayanensis,Accipitridae,Accipitriformes,474.0,302.8,Forest,2,Carnivore,Insessorial,-6.35,-60.36,Gray-headed kite
189,Leptodon forbesi,Accipitridae,Accipitriformes,577.0,316.2,Forest,2,Carnivore,Insessorial,-8.94,-35.99,White-collared kite
190,Leucopternis kuhli,Accipitridae,Accipitriformes,352.1,207.6,Forest,1,Carnivore,Insessorial,-7.38,-63.49,White-browed hawk
191,Leucopternis melanops,Accipitridae,Accipitriformes,312.0,210.8,Forest,1,Carnivore,Insessorial,1.4,-62.88,Black-faced hawk
